,0
0,1.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.023529412
15,0.23529412
16,0.12941177
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0627451
24,0.6313726
25,0.69803923
26,0.6627451
27,0.39215687
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.3882353
34,0.7529412
35,0.007843138
36,0.023529412
37,0.50980395
38,0.3882353
39,0.0
40,0.0
41,0.0
42,0.0
43,0.42745098
44,0.83137256
45,0.023529412
46,0.0
47,0.14117648
48,0.5568628
49,0.0
50,0.0
51,0.0
52,0.0
53,0.29803923
54,0.6313726
55,0.0
56,0.0
57,0.043137256
58,0.6392157
59,0.03529412
60,0.0
61,0.0
62,0.0
63,0.08627451
64,0.6745098
65,0.019607844
66,0.0
67,0.16862746
68,0.654902
69,0.015686275
70,0.0
71,0.0
72,0.0
73,0.003921569
74,0.49019608
75,0.36078432
76,0.101960786
77,0.6627451
78,0.42352942
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.039215688
85,0.48235294
86,0.6862745
87,0.50980395
88,0.015686275
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.03529412
97,0.0
98,0.0
99,0.0
100,0.0
